keyword,category,avg_monthly_searches,competition,rankability_score_1–5,opportunity_score
Cyber Security Company,Cyber Security,50000.0,Low,5.0,250000.0
Managed Security Service Provider,Managed Security,50000.0,Low,5.0,250000.0
Penetration Testing,Penetration Testing,50000.0,Medium,3.0,150000.0
Penetration Testing Service,Penetration Testing,5000.0,Low,4.0,20000.0
Managed Cyber Security Services,Managed Security,5000.0,Low,4.0,20000.0
Cyber Security Assessment,Security Assessment,5000.0,Low,4.0,20000.0
Cloud Security Services,Cloud Security,5000.0,Low,4.0,20000.0
Cloud Security Solutions,Cloud Security,5000.0,Low,4.0,20000.0
Network Security Solutions,Network Security,5000.0,Low,4.0,20000.0
Network Security Services,Network Security,5000.0,Low,4.0,20000.0
Cybersecurity Consulting Firms,Security Advisory,5000.0,Low,4.0,20000.0
Managed Security Services,Managed Security,5000.0,Low,4.0,20000.0
Cybersecurity Consulting Services,Security Advisory,5000.0,Low,4.0,20000.0
Data Loss Prevention Solutions,Cyber Security,5000.0,Low,4.0,20000.0
Cybersecurity Incident Response,Cyber Security,5000.0,Low,4.0,20000.0
Cybersecurity Risk Assessment,Security Assessment,5000.0,Low,4.0,20000.0
Cybersecurity Training Platforms,Cyber Security,5000.0,Low,4.0,20000.0
Web Application Penetration Testing,Penetration Testing,5000.0,Low,4.0,20000.0
Cloud Security Posture Management,Cloud Security,5000.0,Low,4.0,20000.0
Cyber Security For Business,Cyber Security,5000.0,Low,4.0,20000.0
,Cyber Security,,,,
,Cyber Security,,,,
